,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
0,0.0,0.5536247044801712,0.438182707875967,1,purple
1,5.65,0.7212411146610975,0.5894607398658991,2,dark purple
2,0.0,0.5221439059823751,0.5403275601565838,1,purple
3,5.15,0.4263557493686676,0.452369824051857,2,dark purple
4,6.25,0.454161548987031,0.6152142770588398,2,dark purple
5,5.15,0.3899355186149478,0.3496284829452634,2,dark purple
6,6.4,0.5097242537885904,0.3345948178321123,0,pink
7,6.15,0.8587758988142014,0.6110979244112968,2,dark purple
8,0.0,0.4422069527208805,0.7983287796378136,1,purple
9,3.25,0.546499714255333,0.4957482684403658,2,dark purple
10,5.25,0.41694375686347485,0.25402926839888096,2,dark purple
11,5.15,0.3990655764937401,0.24314981419593096,2,dark purple
12,5.15,0.3542108228430152,0.6331354845315218,2,dark purple
13,5.15,0.320659764111042,0.3710617544129491,2,dark purple
14,5.15,0.27155831921845675,0.2682499587535858,2,dark purple
15,2.65,0.31730581540614367,0.40371930226683617,1,purple
16,5.15,0.2634673146530986,0.2583061112090945,2,dark purple
17,0.0,0.4397848155349493,0.6862522102892399,1,purple
18,5.15,0.1304039848037064,0.11171923251822591,2,dark purple
19,5.15,0.4407473374158144,0.781421922147274,2,dark purple
20,6.75,0.15939289005473256,0.4778037313371897,0,pink
21,5.15,0.4881841130554676,0.5538929253816605,2,dark purple
22,4.9,0.12851750943809748,0.26371567510068417,2,dark purple
23,0.0,0.5291053559631109,0.3498928155750036,1,purple
24,5.15,0.5068907979875803,0.5405415780842304,2,dark purple
25,4.0,0.30870947521179914,0.35200610291212797,2,dark purple
26,5.15,0.22761111613363028,0.30313266906887293,2,dark purple
27,5.15,0.47012902796268463,0.5891629029065371,2,dark purple
28,5.15,0.19208184676244855,0.1702453359030187,2,dark purple
29,5.15,0.30609380919486284,0.3888326697051525,2,dark purple
30,4.25,0.30956859700381756,0.7803663145750761,2,dark purple
31,5.15,0.35397589672356844,0.5136250518262386,2,dark purple
32,5.15,0.3924273420125246,0.49310848116874695,2,dark purple
33,5.15,0.1709213713183999,0.07933391025289893,2,dark purple
34,2.8,0.39393194019794464,0.351393804885447,1,purple
35,2.0,0.6259840913116932,0.5108979996293783,1,purple
36,6.5,0.31524933874607086,0.30661236960440874,0,pink
37,5.15,0.30594717245548964,0.40991283021867275,2,dark purple
38,6.15,0.3174606245011091,0.30934480018913746,2,dark purple
39,0.0,0.5346708931028843,0.8151890709996223,1,purple
40,5.15,0.36910343915224075,0.1544194878078997,2,dark purple
41,0.0,0.3037883201614022,0.744008319452405,1,purple
42,3.35,0.6947738118469715,0.5715927574783564,2,dark purple
